vendor	family	codeName	model	date	clock	maxClock	mips	threadsPerCore	cores	thermalPower	busWidth	transistors	dieSize	arch:name	arch:isa	arch:isaVersion	arch:isaExtensions	arch:fpPipestages	arch:intPipestages	arch:maxUopIssuedPerCycle	arch:ifu	arch:lsfu	arch:fpfu	arch:tfu	arch:maxInstDecoded	arch:robSize	arch:iwindow	arch:ifQueue	arch:bhtSize	arch:btbSize	arch:bpAcc	arch:archIntReg	arch:archFpReg	arch:totalArchReg	arch:fpCoproc	arch:outOfOrder	arch:memoryBw	arch:integratedMc	technology:name	technology:year	technology:technology	technology:featureSize	technology:channelLength	technology:metalLayers	technology:metal	technology:vddNom	technology:vth	cache:L1	cache:L1I	cache:L1D	cache:L2	cache:L2Cores	cache:L3	cache:L3Cores	vdd:low	vdd:high
AMD	80386		Am386DX		40			1	1		32																													1991	CMOS	0.8	0.8								1024	2				
AMD	80486	DX	Am486	1993-03-01	40			1	1	3	32	0.93	89																											1993	CMOS	0.5	0.5	3							1024	2			5	5
AMD	Athlon	Thunderbird	1000	2000-05-01	1000			1	1	49	32	37	120	K75																										1999	CMOS	0.18	0.1								1024	2			1.8	1.8
AMD	Athlon	Thunderbird	1100		1100			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
AMD	Athlon	Thunderbird	1200		1200			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
AMD	Athlon	Thunderbird	1300		1300			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
AMD	Athlon	Thunderbird	1333		1333			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
AMD	Athlon	Thunderbird	1400	2001-06-01	1400			1	1	56			120	K75																										1999	CMOS	0.18	0.1								1024	2			1.8	1.8
AMD	Athlon	Pluto	550		550			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
AMD	Athlon	Pluto	600	1999-11-29	600			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
AMD	Athlon	Pluto	650		650			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
AMD	Athlon	Pluto	750	1999-11-01	750			1	1			22	102	K75																										1999	CMOS	0.18	0.1								1024	2			1.8	1.8
AMD	Athlon	Pluto	800		800			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
AMD	Athlon	Pluto	850		850			1	1					K75																										1999	CMOS	0.18	0.1								1024	2				
